"key","message","comment","context"
"Account","खाता",,
"Account Details","खाता विवरण",,
"Account Entries","खाता प्रविष्टियाँ",,
"Account Info","खाता जानकारी",,
"Account Name","खाता नाम",,
"Accounting","लेखा",,
"Accounting Balance","लेखा संतुलन",,
"Accounting Entries","लेखा प्रविष्टियाँ",,
"Accounting Entry Details","लेखा प्रविष्टि विवरण",,
"Accounting Entry Line #","लेखा प्रविष्टि लाइन #",,
"Accounting Entry Line Details","लेखा प्रविष्टि लाइन विवरण",,
"Accounting Entry Line List","लेखा प्रविष्टि लाइन सूची",,
"Accounting Entry Lines","लेखा प्रविष्टि लाइनें",,
"Accounting Invoices","लेखा चालान",,
"Accounting entry","लेखा प्रविष्टि",,
"Accounting entry line name column","लेखा प्रविष्टि लाइन नाम स्तंभ",,
"AccountingEntry Lines","लेखा प्रविष्टि लाइनें",,
"Accounts","खाते",,
"Amount","रकम",,
"Balance(Debit - Credit)","संतुलन (डेबिट - क्रेडिट)",,
"Code","कोड",,
"Contact","संपर्क",,
"Contact Invoices","संपर्क चालान",,
"Contact Invoices Graph","संपर्क चालान ग्राफ",,
"Credit","क्रेडिट",,
"Customer Account","ग्राहक खाता",,
"Customer Invoice","ग्राहक चालान",,
"Customer Invoices","ग्राहक चालानें",,
"Customer Validate Invoice Amount","ग्राहक की पुष्टि की गई चालान राशि",,
"Customer validated invoices - last 3 months","ग्राहक की पुष्टि की गई चालानें - पिछले 3 महीने",,
"Dashboard","डैशबोर्ड",,
"Dashboards","डैशबोर्ड",,
"Debit","डेबिट",,
"Distribution of Sales By Product","उत्पाद के द्वारा बिक्री का वितरण",,
"From Date","तारीख से",,
"Full Name","पूरा नाम",,
"Full name","पूरा नाम",,
"Generate Accounting Entry","लेखा प्रविष्टि उत्पन्न करें",,
"Invoice Date","चालान तिथि",,
"Invoice Lines","चालान लाइनें",,
"Invoice Orders","चालान आदेश",,
"Invoice accounting entry","चालान लेखा प्रविष्टि",,
"Invoice's Date","चालान की तिथि",,
"Month","महीना",,
"Name","नाम",,
"Number of quantities sold per product family","प्रति उत्पाद परिवार की बिक्री की मात्रा",,
"Order Lines","आदेश लाइनें",,
"Product Categories","उत्पाद श्रेणियाँ",,
"Product Family","उत्पाद परिवार",,
"Product Family Names","उत्पाद परिवार के नाम",,
"Product account","उत्पाद खाता",,
"Product family","उत्पाद परिवार",,
"Products","उत्पाद",,
"Quantity","मात्रा",,
"Reporting Dashboard","रिपोर्टिंग डैशबोर्ड",,
"Title","शीर्षक",,
"To BE Invoiced","चालान बनाने के लिए",,
"To Date","तक तिथि",,
"To Validated","पुष्टि के लिए",,
