"key","message","comment","context"
"Address","पता",,
"Address Book","पता पुस्तिका",,
"Addresses","पते",,
"All Addresses","सभी पते",,
"All Contact","सभी संपर्क",,
"All Country","सभी देश",,
"All Titles","सभी शीर्षक",,
"City","शहर",,
"Code","कोड",,
"Contact","संपर्क",,
"Contacts","संपर्क",,
"Countries","देश",,
"Country","देश",,
"Date of birth","जन्म की तारीख",,
"Email","ईमेल",,
"First name","पहला नाम",,
"Full address","पूरा पता",,
"Full name","पूरा नाम",,
"Hindi","हिंदी",,
"Image","छवि",,
"Last name","अंतिम नाम",,
"Name","नाम",,
"Overview","अवलोकन",,
"Personal Information","व्यक्तिगत जानकारी",,
"Phone","फ़ोन",,
"Picture","चित्र",,
"Postal Address","पोस्टल पता",,
"Postal addresses","पोस्टल पते",,
"Street","सड़क",,
"Title","शीर्षक",,
"Titles","शीर्षक",,
"Zip","ज़िप",,
"whatever@example.com","whatever@example.com",,
