"key","message","comment","context"
"Billing Date","बिलिंग तिथि",,
"Compute","गणना करें",,
"Customer","ग्राहक",,
"Date of Invoice","चालान की तिथि",,
"Description","विवरण",,
"Ex tax total","कर सहित कुल",,
"Forecast Billing Date","पूर्वानुमान बिलिंग तिथि",,
"General Details","सामान्य विवरण",,
"Generate Invoice","चालान उत्पन्न करें",,
"Invoice","चालान",,
"Invoice Generated","चालान उत्पन्न हुआ",,
"Invoice Information","चालान जानकारी",,
"Invoice Late Orders","चालान देर से आने वाले आदेश",,
"Invoice Line Overview","चालान लाइन अवलोकन",,
"Invoice Lines","चालान लाइनें",,
"Invoice Lines Overview","चालान लाइनें अवलोकन",,
"Invoice Orders","चालान आदेश",,
"Invoice date","चालान तिथि",,
"Invoice id name column","चालान आईडी नाम स्तंभ",,
"Invoice validated","चालान पुष्टि किया गया",,
"Invoices","चालानें",,
"Order Tools","आदेश उपकरण",,
"Orders","आदेश",,
"Product","उत्पाद",,
"Product Overview","उत्पाद अवलोकन",,
"Qty","मात्रा",,
"Quantity","मात्रा",,
"State","राज्य",,
"Tax rate","कर दर",,
"Total","कुल",,
"Total without tax","कर के बिना कुल",,
"Unit price","यूनिट मूल्य",,
"Validate","पुष्टि करें",,
"info","जानकारी",,
