"key","message","comment","context"
"Code","कोड",,
"Compute","कम्प्यूट",,
"Confirmation Date","पुष्टि तिथि",,
"Confirmation date","पुष्टि तिथि",,
"Customer","ग्राहक",,
"Customer Details","ग्राहक विवरण",,
"Description","विवरण",,
"Draft","ड्राफ्ट",,
"Ex tax total","कर सहित कुल",,
"Name","नाम",,
"Order Date","आदेश तिथि",,
"Order Line","आदेश लाइन",,
"Order Lines","आदेश लाइनें",,
"Order Lines Details","आदेश लाइन विवरण",,
"Order date","आदेश तिथि",,
"Order line list","आदेश लाइन सूची",,
"Order validated","आदेश पुष्टि की गई",,
"OrderLines","आदेश लाइनें",,
"Orders","आदेश",,
"Product","उत्पाद",,
"Product Overview","उत्पाद अवलोकन",,
"Product order","उत्पाद आदेश",,
"Products","उत्पाद",,
"Qty","मात्रा",,
"Sales","बिक्री",,
"State select","राज्य का चयन करें",,
"Tax rate","कर दर",,
"Total","कुल",,
"Total Without Tax","कर के बिना कुल",,
"Unit price","यूनिट मूल्य",,
"Validate","पुष्टि करें",,
"Validated","पुष्टि की गई",,
"success","सफलता",,
"warning","चेतावनी",,
